Classement,Pokémon,Nombre de votes,% de joueurs ayant vote pour
1,Carchacrok,2190,"12,16%"
2,Ectoplasma,1999,"11,10%"
3,Rayquaza,1672,"9,29%"
4,Amphinobi,1654,"9,19%"
5,Lucario,1441,"8,00%"
6,Laggron,1320,"7,33%"
7,Dracaufeu,1310,"7,28%"
8,Simiabraz,1288,"7,15%"
9,Tyranocif,1275,"7,08%"
10,Metalosse,1269,"7,05%"
11,Cizayox,1235,"6,86%"
12,Jungko,1140,"6,33%"
13,Brasegali,1137,"6,32%"
14,Gardevoir,1134,"6,30%"
15,Pingoleon,1128,"6,27%"
16,Libegon,976,"5,42%"
17,Scorvol,956,"5,31%"
18,Yveltal,925,"5,14%"
19,Noctali,915,"5,08%"
20,Dracolosse,903,"5,02%"
21,Lugia,890,"4,94%"
22,Etouraptor,860,"4,78%"
23,Pyrax,857,"4,76%"
24,Luxray,842,"4,68%"
25,Darkrai,842,"4,68%"
26,Exagide,804,"4,47%"
27,Typhlosion,794,"4,41%"
28,Arcanin,788,"4,38%"
29,Archeduc,777,"4,32%"
30,Trioxhydre,776,"4,31%"
31,Lugulabre,774,"4,30%"
32,Milobellus,772,"4,29%"
33,Giratina,760,"4,22%"
34,Zoroark,728,"4,04%"
35,Majaspic,722,"4,01%"
36,Lanssorien,721,"4,00%"
37,Aligatueur,717,"3,98%"
38,Mimiqui,691,"3,84%"
39,Drattak,686,"3,81%"
40,Torterra,673,"3,74%"
41,Galeking,663,"3,68%"
42,Mewtwo,663,"3,68%"
43,Leviator,609,"3,38%"
44,Kyogre,602,"3,34%"
45,Nostenfer,575,"3,19%"
46,Arceus,563,"3,13%"
47,Evoli,563,"3,13%"
48,Gobou,561,"3,12%"
49,Groudon,560,"3,11%"
50,Gallame,556,"3,09%"
51,Ho-Oh,556,"3,09%"
52,Feunard d'Alola,553,"3,07%"
53,Mentali,545,"3,03%"
54,Dialga,538,"2,99%"
55,Crocorible,531,"2,95%"
56,Bulbizarre,527,"2,93%"
57,Absol,518,"2,88%"
58,Zekrom,501,"2,78%"
59,Ronflex,498,"2,77%"
60,Dimoret,498,"2,77%"
61,Nymphali,497,"2,76%"
62,Suicune,495,"2,75%"
63,Corvaillus,495,"2,75%"
64,Salarsen,494,"2,74%"
65,Chapignon,492,"2,73%"
66,Tortank,491,"2,73%"
67,Lougaroc,484,"2,69%"
68,Alakazam,483,"2,68%"
69,Pyrobut,477,"2,65%"
70,Togekiss,470,"2,61%"
71,Nidoking,469,"2,60%"
72,Electhor,467,"2,59%"
73,Zeraora,467,"2,59%"
74,Mew,467,"2,59%"
75,Xerneas,462,"2,57%"
76,Flambusard,461,"2,56%"
77,Victini,457,"2,54%"
78,Roserade,454,"2,52%"
79,Pharamp,446,"2,48%"
80,Scalproie,443,"2,46%"
81,Givrali,441,"2,45%"
82,Marshadow,440,"2,44%"
83,Porygon-Z,439,"2,44%"
84,Momartik,429,"2,38%"
85,Massko,422,"2,34%"
86,Feunard,419,"2,33%"
87,Azumarill,412,"2,29%"
88,Mysdibule,409,"2,27%"
89,Scarhino,406,"2,26%"
90,Shaymin,406,"2,26%"
91,Voltali,398,"2,21%"
92,Rexillius,390,"2,17%"
93,Phyllali,385,"2,14%"
94,Aquali,380,"2,11%"
95,Reshiram,380,"2,11%"
96,Bruyverne,380,"2,11%"
97,Deoxys,375,"2,08%"
98,Corboss,374,"2,08%"
99,Latias,373,"2,07%"
100,Florizarre,372,"2,07%"
101,Hericendre,370,"2,06%"
102,Minotaupe,370,"2,06%"
103,Mammochon,369,"2,05%"
104,Lokhlass,368,"2,04%"
105,Tiplouf,359,"1,99%"
106,Tranchodon,359,"1,99%"
107,Zacian,357,"1,98%"
108,Shifours,354,"1,97%"
109,Jirachi,352,"1,96%"
110,Brindibou,350,"1,94%"
111,Demolosse,349,"1,94%"
112,Kaiminus,347,"1,93%"
113,Zorua,343,"1,91%"
114,Elekable,334,"1,86%"
115,Latios,333,"1,85%"
116,Pikachu,329,"1,83%"
117,Artikodin,329,"1,83%"
118,Felinferno,326,"1,81%"
119,Magnezone,323,"1,79%"
120,Oratoria,319,"1,77%"
121,Motisma,316,"1,76%"
122,Ohmassacre,312,"1,73%"
123,Palkia,305,"1,69%"
124,Coatox,304,"1,69%"
125,Raikou,302,"1,68%"
126,Steelix,297,"1,65%"
127,Tortipouss,290,"1,61%"
128,Brutapode,289,"1,61%"
129,Ossateur d'Alola,281,"1,56%"
130,Muplodocus,278,"1,54%"
131,Carapuce,275,"1,53%"
132,Lunala,274,"1,52%"
133,Kyurem,274,"1,52%"
134,Meloetta,272,"1,51%"
135,Clamiral,272,"1,51%"
136,Vipelierre,269,"1,49%"
137,Heatran,268,"1,49%"
138,Katagami,266,"1,48%"
139,Keunotor,264,"1,47%"
140,Symbios,258,"1,43%"
141,Lockpin,257,"1,43%"
142,Hyporoi,256,"1,42%"
143,Regieleki,252,"1,40%"
144,Sarmurai,251,"1,39%"
145,Roucarnage,248,"1,38%"
146,Celebi,244,"1,36%"
147,Heliatronc,242,"1,34%"
148,Noctunoir,242,"1,34%"
149,Spiritomb,241,"1,34%"
150,Draco,237,"1,32%"
151,Drascore,236,"1,31%"
152,Altaria,234,"1,30%"
153,Tokorico,229,"1,27%"
154,Goupix d'Alola,228,"1,27%"
155,Moustillon,227,"1,26%"
156,Ekaiser,227,"1,26%"
