Classement;Pokémon;Nombre de votes;% de joueurs ayant vote pour
1;Carchacrok;2190;0,1216
2;Ectoplasma;1999;0,111
3;Rayquaza;1672;0,0929
4;Amphinobi;1654;0,0919
5;Lucario;1441;0,08
6;Laggron;1320;0,0733
7;Dracaufeu;1310;0,0728
8;Simiabraz;1288;0,0715
9;Tyranocif;1275;0,0708
10;Metalosse;1269;0,0705
11;Cizayox;1235;0,0686
12;Jungko;1140;0,0633
13;Brasegali;1137;0,0632
14;Gardevoir;1134;0,063
15;Pingoleon;1128;0,0627
16;Libegon;976;0,0542
17;Scorvol;956;0,0531
18;Yveltal;925;0,0514
19;Noctali;915;0,0508
20;Dracolosse;903;0,0502
21;Lugia;890;0,0494
22;Etouraptor;860;0,0478
23;Pyrax;857;0,0476
24;Luxray;842;0,0468
25;Darkrai;842;0,0468
26;Exagide;804;0,0447
27;Typhlosion;794;0,0441
28;Arcanin;788;0,0438
29;Archeduc;777;0,0432
30;Trioxhydre;776;0,0431
31;Lugulabre;774;0,043
32;Milobellus;772;0,0429
33;Giratina;760;0,0422
34;Zoroark;728;0,0404
35;Majaspic;722;0,0401
36;Lanssorien;721;0,04
37;Aligatueur;717;0,0398
38;Mimiqui;691;0,0384
39;Drattak;686;0,0381
40;Torterra;673;0,0374
41;Galeking;663;0,0368
42;Mewtwo;663;0,0368
43;Leviator;609;0,0338
44;Kyogre;602;0,0334
45;Nostenfer;575;0,0319
46;Arceus;563;0,0313
47;Evoli;563;0,0313
48;Gobou;561;0,0312
49;Groudon;560;0,0311
50;Gallame;556;0,0309
51;Ho-Oh;556;0,0309
52;Feunard d'Alola;553;0,0307
53;Mentali;545;0,0303
54;Dialga;538;0,0299
55;Crocorible;531;0,0295
56;Bulbizarre;527;0,0293
57;Absol;518;0,0288
58;Zekrom;501;0,0278
59;Ronflex;498;0,0277
60;Dimoret;498;0,0277
61;Nymphali;497;0,0276
62;Suicune;495;0,0275
63;Corvaillus;495;0,0275
64;Salarsen;494;0,0274
65;Chapignon;492;0,0273
66;Tortank;491;0,0273
67;Lougaroc;484;0,0269
68;Alakazam;483;0,0268
69;Pyrobut;477;0,0265
70;Togekiss;470;0,0261
71;Nidoking;469;0,026
72;Electhor;467;0,0259
73;Zeraora;467;0,0259
74;Mew;467;0,0259
75;Xerneas;462;0,0257
76;Flambusard;461;0,0256
77;Victini;457;0,0254
78;Roserade;454;0,0252
79;Pharamp;446;0,0248
80;Scalproie;443;0,0246
81;Givrali;441;0,0245
82;Marshadow;440;0,0244
83;Porygon-Z;439;0,0244
84;Momartik;429;0,0238
85;Massko;422;0,0234
86;Feunard;419;0,0233
87;Azumarill;412;0,0229
88;Mysdibule;409;0,0227
89;Scarhino;406;0,0226
90;Shaymin;406;0,0226
91;Voltali;398;0,0221
92;Rexillius;390;0,0217
93;Phyllali;385;0,0214
94;Aquali;380;0,0211
95;Reshiram;380;0,0211
96;Bruyverne;380;0,0211
97;Deoxys;375;0,0208
98;Corboss;374;0,0208
99;Latias;373;0,0207
100;Florizarre;372;0,0207
101;Hericendre;370;0,0206
102;Minotaupe;370;0,0206
103;Mammochon;369;0,0205
104;Lokhlass;368;0,0204
105;Tiplouf;359;0,0199
106;Tranchodon;359;0,0199
107;Zacian;357;0,0198
108;Shifours;354;0,0197
109;Jirachi;352;0,0196
110;Brindibou;350;0,0194
111;Demolosse;349;0,0194
112;Kaiminus;347;0,0193
113;Zorua;343;0,0191
114;Elekable;334;0,0186
115;Latios;333;0,0185
116;Pikachu;329;0,0183
117;Artikodin;329;0,0183
118;Felinferno;326;0,0181
119;Magnezone;323;0,0179
120;Oratoria;319;0,0177
121;Motisma;316;0,0176
122;Ohmassacre;312;0,0173
123;Palkia;305;0,0169
124;Coatox;304;0,0169
125;Raikou;302;0,0168
126;Steelix;297;0,0165
127;Tortipouss;290;0,0161
128;Brutapode;289;0,0161
129;Ossateur d'Alola;281;0,0156
130;Muplodocus;278;0,0154
131;Carapuce;275;0,0153
132;Lunala;274;0,0152
133;Kyurem;274;0,0152
134;Meloetta;272;0,0151
135;Clamiral;272;0,0151
136;Vipelierre;269;0,0149
137;Heatran;268;0,0149
138;Katagami;266;0,0148
139;Keunotor;264;0,0147
140;Symbios;258;0,0143
141;Lockpin;257;0,0143
142;Hyporoi;256;0,0142
143;Regieleki;252;0,014
144;Sarmurai;251;0,0139
145;Roucarnage;248;0,0138
146;Celebi;244;0,0136
147;Heliatronc;242;0,0134
148;Noctunoir;242;0,0134
149;Spiritomb;241;0,0134
150;Draco;237;0,0132
151;Drascore;236;0,0131
152;Altaria;234;0,013
153;Tokorico;229;0,0127
154;Goupix d'Alola;228;0,0127
155;Moustillon;227;0,0126
156;Ekaiser;227;0,0126
157;Malamandre;227;0,0126
158;Zygarde;226;0,0126
159;Ixon;224;0,0124
160;Colhomard;221;0,0123
161;Arcko;218;0,0121
162;Magireve;217;0,0121
163;Noacier;212;0,0118
164;Poussifeu;211;0,0117
165;Salameche;210;0,0117
166;Entei;210;0,0117
167;Keldeo;207;0,0115
168;Mackogneur;206;0,0114
169;Necrozma;206;0,0114
170;Hoopa;206;0,0114
171;Riolu;205;0,0114
172;Mygavolt;204;0,0113
173;Goupelin;202;0,0112
174;Demeteros;202;0,0112
175;Maraiste;199;0,0111
176;Diancie;198;0,011
177;Kabutops;196;0,0109
