Ndex,Pokémon,English,French
001,Bulbasaur,Bulbasaur,Bulbizarre
002,Ivysaur,Ivysaur,Herbizarre
003,Venusaur,Venusaur,Florizarre
004,Charmander,Charmander,Salameche
005,Charmeleon,Charmeleon,Reptincel
006,Charizard,Charizard,Dracaufeu
007,Squirtle,Squirtle,Carapuce
008,Wartortle,Wartortle,Carabaffe
009,Blastoise,Blastoise,Tortank
010,Caterpie,Caterpie,Chenipan
011,Metapod,Metapod,Chrysacier
012,Butterfree,Butterfree,Papilusion
013,Weedle,Weedle,Aspicot
014,Kakuna,Kakuna,Coconfort
015,Beedrill,Beedrill,Dardargnan
016,Pidgey,Pidgey,Roucool
017,Pidgeotto,Pidgeotto,Roucoups
018,Pidgeot,Pidgeot,Roucarnage
019,Rattata,Rattata,Rattata
020,Raticate,Raticate,Rattatac
021,Spearow,Spearow,Piafabec
022,Fearow,Fearow,Rapasdepic
023,Ekans,Ekans,Abo
024,Arbok,Arbok,Arbok
025,Pikachu,Pikachu,Pikachu
026,Raichu,Raichu,Raichu
027,Sandshrew,Sandshrew,Sabelette
028,Sandslash,Sandslash,Sablaireau
029,Nidoran♀,Nidoran♀,Nidoran♀
030,Nidorina,Nidorina,Nidorina
031,Nidoqueen,Nidoqueen,Nidoqueen
032,Nidoran♂,Nidoran♂,Nidoran♂
033,Nidorino,Nidorino,Nidorino
034,Nidoking,Nidoking,Nidoking
035,Clefairy,Clefairy,Melofee
036,Clefable,Clefable,Melodelfe
037,Vulpix,Vulpix,Goupix
038,Ninetales,Ninetales,Feunard
039,Jigglypuff,Jigglypuff,Rondoudou
040,Wigglytuff,Wigglytuff,Grodoudou
041,Zubat,Zubat,Nosferapti
042,Golbat,Golbat,Nosferalto
043,Oddish,Oddish,Mystherbe
044,Gloom,Gloom,Ortide
045,Vileplume,Vileplume,Rafflesia
046,Paras,Paras,Paras
047,Parasect,Parasect,Parasect
048,Venonat,Venonat,Mimitoss
049,Venomoth,Venomoth,Aeromite
050,Diglett,Diglett,Taupiqueur
051,Dugtrio,Dugtrio,Triopikeur
052,Meowth,Meowth,Miaouss
053,Persian,Persian,Persian
054,Psyduck,Psyduck,Psykokwak
055,Golduck,Golduck,Akwakwak
056,Mankey,Mankey,Ferosinge
057,Primeape,Primeape,Colossinge
058,Growlithe,Growlithe,Caninos
059,Arcanine,Arcanine,Arcanin
060,Poliwag,Poliwag,Ptitard
061,Poliwhirl,Poliwhirl,Tetarte
062,Poliwrath,Poliwrath,Tartard
063,Abra,Abra,Abra
064,Kadabra,Kadabra,Kadabra
065,Alakazam,Alakazam,Alakazam
066,Machop,Machop,Machoc
067,Machoke,Machoke,Machopeur
068,Machamp,Machamp,Mackogneur
069,Bellsprout,Bellsprout,Chetiflor
070,Weepinbell,Weepinbell,Boustiflor
071,Victreebel,Victreebel,Empiflor
072,Tentacool,Tentacool,Tentacool
073,Tentacruel,Tentacruel,Tentacruel
074,Geodude,Geodude,Racaillou
075,Graveler,Graveler,Gravalanch
076,Golem,Golem,Grolem
077,Ponyta,Ponyta,Ponyta
078,Rapidash,Rapidash,Galopa
079,Slowpoke,Slowpoke,Ramoloss
080,Slowbro,Slowbro,Flagadoss
081,Magnemite,Magnemite,Magneti
082,Magneton,Magneton,Magneton
083,Farfetch'd,Farfetch'd,Canarticho
084,Doduo,Doduo,Doduo
085,Dodrio,Dodrio,Dodrio
086,Seel,Seel,Otaria
087,Dewgong,Dewgong,Lamantine
088,Grimer,Grimer,Tadmorv
089,Muk,Muk,Grotadmorv
090,Shellder,Shellder,Kokiyas
091,Cloyster,Cloyster,Crustabri
092,Gastly,Gastly,Fantominus
093,Haunter,Haunter,Spectrum
094,Gengar,Gengar,Ectoplasma
095,Onix,Onix,Onix
096,Drowzee,Drowzee,Soporifik
